"Notified customer about invoice #%1.","Notificação enviada ao cliente sobre Fatura #%1.","module","Gabrielqs_SalesAutomation"
"Sales Automation","Automação de Vendas","module","Gabrielqs_SalesAutomation"
"Order Rules", "Regras para Pedidos","module","Gabrielqs_SalesAutomation"
"Payment Method","Método de Pagamento","module","Gabrielqs_SalesAutomation"
"Status","Status","module","Gabrielqs_SalesAutomation"
"Action","Ação","module","Gabrielqs_SalesAutomation"
"Add","Adicionar","module","Gabrielqs_SalesAutomation"
